Eb/No (dB),RS Depth 4 (BPSK),Concat 1/2 D4 (BPSK),RS Depth 4 (8PSK),Concat 1/2 D4 (8PSK),Uncoded (BPSK),Uncoded (8PSK),Uncoded (16QAM),CCSDS 4D-8PSK-TCM (BPSK),CCSDS 4D-8PSK-TCM-2.0 (BPSK),Concat 2/3 D4 (BPSK),Concat 3/4 D4 (BPSK),Concat 5/6 D4 (BPSK),Concat 7/8 D4 (BPSK),Uncoded (32APSK),Uncoded (64APSK),Uncoded (16APSK),Uncoded (64QAM),Uncoded (256QAM),Uncoded (256APSK),Uncoded (128APSK),Uncoded (128QAM),Concat 2/3 D4 (8PSK),Concat 3/4 D4 (8PSK),Concat 5/6 D4 (8PSK)
1.8,1.000000e+00,8.561208e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
1.9,1.000000e+00,6.478788e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
2.0,1.000000e+00,3.757962e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
2.1,1.000000e+00,1.665633e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,9.991266e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
2.2,1.000000e+00,5.498783e-02,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,9.893805e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
2.3,1.000000e+00,1.317654e-02,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,9.599303e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
2.4,1.000000e+00,2.385023e-03,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,8.319823e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
2.5,1.000000e+00,3.327083e-04,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,6.204174e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
2.6,1.000000e+00,2.749896e-05,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,3.591664e-01,9.990715e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
2.7,1.000000e+00,3.399864e-06,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,1.651255e-01,9.925512e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
2.8,1.000000e+00,2.999888e-07,1.000000e+00,9.962686e-01,1.000000e+00,1.000000e+00,,,1.000000e+00,5.173707e-02,9.880295e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
2.9,1.000000e+00,0.000000e+00,1.000000e+00,9.877934e-01,1.000000e+00,1.000000e+00,,,1.000000e+00,1.217161e-02,9.408181e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
3.0,1.000000e+00,0.000000e+00,1.000000e+00,9.211654e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,2.364874e-03,7.818448e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
3.1,1.000000e+00,0.000000e+00,1.000000e+00,7.775347e-01,1.000000e+00,1.000000e+00,,,1.000000e+00,3.067110e-04,5.819178e-01,9.981499e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
3.2,1.000000e+00,0.000000e+00,1.000000e+00,5.548654e-01,1.000000e+00,1.000000e+00,,,1.000000e+00,3.429896e-05,3.313609e-01,9.944701e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
3.3,1.000000e+00,0.000000e+00,1.000000e+00,3.408144e-01,1.000000e+00,1.000000e+00,,,1.000000e+00,2.399929e-06,1.448238e-01,9.773551e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
3.4,1.000000e+00,0.000000e+00,1.000000e+00,1.560677e-01,1.000000e+00,1.000000e+00,,,1.000000e+00,1.999930e-07,4.794871e-02,9.084746e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
3.5,1.000000e+00,0.000000e+00,1.000000e+00,5.260196e-02,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,1.394563e-02,7.389783e-01,9.935603e-01,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
3.6,1.000000e+00,0.000000e+00,1.000000e+00,1.428612e-02,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,3.026644e-03,5.141326e-01,9.648649e-01,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
3.7,1.000000e+00,0.000000e+00,1.000000e+00,2.970329e-03,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,5.453746e-04,2.827084e-01,8.728324e-01,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,1.000000e+00,1.000000e+00,1.000000e+00
3.8,1.000000e+00,0.000000e+00,1.000000e+00,4.958832e-04,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,7.359745e-05,1.183967e-01,6.704762e-01,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,9.971510e-01,1.000000e+00,1.000000e+00
3.9,1.000000e+00,0.000000e+00,1.000000e+00,6.839757e-05,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,8.099790e-06,4.160078e-02,4.324324e-01,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,9.840525e-01,1.000000e+00,1.000000e+00
